,Unnamed: 0,head,relation,tail
15382,13231,"Or whether or not he's going to continue to focus on taking care of only the very wealthy, not asking them to make -- pay any part of the deal to bring -- bring back the middle class and the economy of this country",__label__Support,"I'd ask that hero you referenced to take a look at whether or not Governor Romney or President Obama has the conviction to help lift up the middle class, restore them to where they were before this great recession hit and they got wiped out"
15383,13232,We spoke a multitude of tongues.,__label__Support,"we built a new breed of human called an American - a proud, an independent., and a most compassionate individual, for the most part"
15384,13233,And one of those dreams is justice,__label__Support,"We came here loving this nation, serving it, and it has served all of our most bountiful dreams"
15385,13234,he was against the M - 1 tank,__label__Support,he has a record of weakness with regard to our national defense that is second to none
15386,13235,he talked about how optimistic he was and the country was about heading toward elections,__label__Attack,"he was optimistic when he came here, then he turned on the TV and listened to the political rhetoric and all of a sudden he was pessimistic"
15387,13236,"Which is it, Dan? Is he going to -- what's your role in this going to be?",__label__Attack,"2 weeks ago he said that after the election, if you win, then James Baker's going to go back to be secretary of state"
15388,13237,they didn't have the tanks,__label__Support,They didn't get the tanks from this administration
15389,13238,His influence is strong enough today to prevent us from joi- getting the other countries of Latin America to join with us in economic quarantine,__label__Support,"The big struggle will be to prevent the influence of Castro spreading to other countries - Mexico, Panama, Bolivia, Colombia"
15390,13239,70 percent of the new jobs in America are created by small businesses,__label__Support,Taxes are going up when you run up the top two brackets
15391,13240,"I, as you know, pushed for the debate to include the 209 American citizens who were part of it in Richmond a few days ago",__label__Support,I'll continue to do them as president
